gene	logFC	P.Value
Sox11	0.2137039	6.43E-08
Vezt	0.213009554	6.45E-08
Ifitm10	-0.356538304	6.45E-08
Ido1	0.356203037	6.45E-08
LOC102557324	-0.210900881	6.47E-08
Tfpt	0.331043825	6.47E-08
Cd3d	-0.210774788	6.51E-08
Fdx1	2.353496598	6.51E-08
Tmem196	0.213489943	6.51E-08
Med4	1.168439479	6.55E-08
Cyp21a1	0.335513618	6.56E-08
LOC688126	-0.210633617	6.57E-08
Ano8	-0.210567096	6.58E-08
Hmgxb3	-1.248837155	6.59E-08
Shmt2	1.343305379	6.60E-08
Zdhhc16	0.637971038	6.61E-08
Wdr17	0.213274377	6.62E-08
Mutyh	-0.336293825	6.62E-08
Smarcal1	0.950581841	6.63E-08
Trpc3	0.313667006	6.63E-08
Timm13	1.938216445	6.65E-08
LOC686143	-0.209592007	6.65E-08
Mrpl1	1.63812811	6.66E-08
Slc6a7	-0.209706058	6.66E-08
Chchd7	2.163715172	6.68E-08
Grin1	-0.209973084	6.69E-08
Inpp5j	-0.210249399	6.69E-08
Galnt10	-0.209058483	6.70E-08
Cap2	-0.20990911	6.70E-08
Ntsr1	-0.357559041	6.70E-08
Hist1h2aa	-0.209323038	6.70E-08
Prkca	-0.20945175	6.70E-08
Pzp	0.351976125	6.72E-08
Myt1	0.213265599	6.73E-08
Kcnj5	-0.208952367	6.74E-08
Traf3ip1	-0.381414853	6.74E-08
Grb7	-0.210158875	6.75E-08
Lor	-0.208757588	6.75E-08
Kif7	-0.366913085	6.75E-08
Arhgef16	-0.208639758	6.76E-08
Grik1	0.212807998	6.77E-08
Gpr62	-0.208055696	6.80E-08
Yipf2	-0.336338861	6.81E-08
Rabl6	1.051278898	6.82E-08
Slc6a17	0.339089589	6.84E-08
Pdk2	2.422395158	6.85E-08
Mrpl2	2.640266512	6.85E-08
RGD1311300	0.349212369	6.86E-08
Ttll3	-0.207950819	6.87E-08
Csnk1g2	-0.888331008	6.89E-08
Fut11	-0.207273926	6.90E-08
Cwc27	0.357949365	6.91E-08
Rnf207	-0.207682518	6.93E-08
Dmac2	2.096168385	6.93E-08
Miga1	-0.206353221	6.95E-08
LOC100912991	-0.414872917	6.96E-08
Taar1	-0.206878109	6.98E-08
Afmid	0.546838544	6.98E-08
Nsun7	0.212402251	6.98E-08
Zfp799	-0.206626454	6.99E-08
Tslp	-0.206500581	7.01E-08
Sypl2	0.294255793	7.02E-08
Tenm4	-2.649704684	7.02E-08
Car1	-0.205822724	7.03E-08
Tmem54	-0.205437127	7.03E-08
Cryaa	-0.205564158	7.05E-08
Ccdc174	0.889927791	7.05E-08
Acr	0.364672268	7.08E-08
Zfp874b	1.04392048	7.08E-08
Robo1	0.34681935	7.09E-08
Rps23	-1.007431794	7.09E-08
Cdkl3	0.345011347	7.10E-08
RGD1562726	0.212020871	7.12E-08
Ptprn	-0.515050048	7.12E-08
Mfsd12	-1.600899197	7.12E-08
Flad1	2.573327159	7.12E-08
Cnnm2	0.338574002	7.13E-08
Trdmt1	0.804390225	7.13E-08
Naa10	0.620696009	7.14E-08
Armcx3	-1.943993298	7.16E-08
Apool	1.830876438	7.19E-08
Lbp	-0.204085923	7.20E-08
Mms22l	-0.204214521	7.21E-08
Nsmf	-0.759933457	7.22E-08
Gcm1	0.211328754	7.22E-08
Tubgcp3	0.611207128	7.23E-08
Cym	0.331790924	7.23E-08
Fcf1	1.524460444	7.24E-08
Myf6	0.211701775	7.24E-08
Map6	1.236512261	7.25E-08
Ppp1r16a	0.563144738	7.26E-08
Klhdc1	1.825571296	7.30E-08
Pnpo	2.764068229	7.30E-08
Rab11fip3	0.416098187	7.31E-08
RGD1566386	0.333339295	7.31E-08
Xxylt1	-1.301523013	7.34E-08
Nubpl	1.942346039	7.35E-08
Emilin3	0.207669465	7.36E-08
Musk	0.207827554	7.36E-08
Dcaf4	0.778395982	7.37E-08
Sftpa1	0.210943507	7.38E-08
Il7	-0.203237002	7.38E-08
LOC102550403	0.394554362	7.41E-08
Adgrl1	-0.20334278	7.41E-08
St6galnac5	0.207490659	7.43E-08
Psmb5	0.825053483	7.45E-08
Enpp6	0.208202696	7.45E-08
Hlf	1.710614042	7.46E-08
Bglap	0.207293449	7.47E-08
Smim35	0.206966837	7.49E-08
Creb1	0.207140362	7.49E-08
LOC102548746	0.208426004	7.49E-08
Ndufs1	2.435373394	7.51E-08
Immt	2.250842608	7.52E-08
LOC500124	0.208652899	7.55E-08
Elof1	1.191116976	7.56E-08
Fads2l1	0.206750254	7.56E-08
Ripply3	0.209641392	7.58E-08
Nop2	1.265395506	7.60E-08
LOC102550331	-0.202701275	7.61E-08
LOC102555876	0.210434818	7.61E-08
Gif	2.442099568	7.62E-08
Sdc3	0.756279758	7.62E-08
Tnfsf4	0.2065531	7.64E-08
Tmem139	0.206404363	7.65E-08
Suco	0.323764908	7.66E-08
Gsg1l	0.734086541	7.67E-08
Zfp148	-0.633021652	7.69E-08
LOC102551017	0.209973591	7.69E-08
Mmaa	2.180824454	7.71E-08
LOC102547184	0.20537667	7.71E-08
Akr1c1	0.206213221	7.72E-08
Chchd6	1.409295761	7.72E-08
RGD1565959	-0.201023335	7.73E-08
Hcn3	-0.200604548	7.74E-08
LOC100365089	2.199785367	7.74E-08
F13a1	-4.593751292	7.74E-08
Ess2	-0.200830429	7.74E-08
Adssl1	4.816647668	7.75E-08
Nkain1	2.890519405	7.76E-08
Usp6nl	-0.553384776	7.78E-08
Slc46a1	-0.313687426	7.78E-08
Rcor3	-0.202365219	7.79E-08
Prm2	0.322362713	7.79E-08
Mafa	-0.20123917	7.80E-08
Cdx2	0.207464242	7.80E-08
LOC100911887	0.205203392	7.81E-08
Elovl3	0.205546132	7.82E-08
LOC102551473	2.752107275	7.85E-08
Gcg	0.205904041	7.85E-08
Pcsk7	1.651951919	7.85E-08
Cdkn2a	0.205713032	7.86E-08
Ide	1.71394618	7.86E-08
Robo2	0.484402924	7.87E-08
Igfbpl1	0.204999849	7.87E-08
Fam84b	0.295729201	7.87E-08
Exosc10	1.37217985	7.88E-08
Adam6	0.204497823	7.89E-08
Wwox	0.894929155	7.90E-08
Pth	0.204632726	7.91E-08
Dtnb	1.662283971	7.91E-08
Aox4	0.334295926	7.93E-08
Hspa9	1.680327432	7.93E-08
Fes	-1.383834437	7.94E-08
LOC102554796	0.204812486	7.95E-08
Pnkd	0.691558809	7.95E-08
Msto1	-0.369041136	7.96E-08
Abra	0.3313552	7.97E-08
Sema6d	-1.523368483	7.97E-08
Megf11	0.312873052	7.98E-08
LOC102554881	0.20428692	7.99E-08
Arrdc1	-0.722745567	8.01E-08
Foxj1	-0.200112789	8.02E-08
Odf2l	1.400709207	8.02E-08
Stradb	1.500628457	8.02E-08
1-Sep	-0.198651095	8.12E-08
Ap1g1	2.262008307	8.13E-08
Pkn2	-0.640461695	8.13E-08
Rrp12	1.300154968	8.13E-08
Trip11	-0.198571292	8.15E-08
Lzts3	-0.198472568	8.15E-08
Tekt5	0.204021471	8.15E-08
Tgif2	-0.19875618	8.16E-08
Kcnq2	-0.19981745	8.16E-08
LOC102546784	-1.082732478	8.17E-08
Gars	1.210129029	8.18E-08
Dpt	-3.622240485	8.19E-08
Nrn1	1.392465653	8.20E-08
Acadvl	3.269221199	8.20E-08
Tmem243	-0.903637684	8.22E-08
Atp6v1e1	1.124358203	8.22E-08
Tmem53	2.075419187	8.23E-08
Nphp4	-0.198331773	8.23E-08
Psmf1	0.504991273	8.24E-08
P2rx6	-0.19951274	8.25E-08
Cfc1	-0.197619479	8.26E-08
Espl1	0.337725797	8.26E-08
Krt4	-0.1978844	8.26E-08
Klrh1	0.203582288	8.26E-08
Mpped2	0.203794923	8.27E-08
Pfkm	3.210360188	8.28E-08
Ssc5d	-0.767307548	8.29E-08
Abhd2	-0.197521253	8.30E-08
Ptges2	1.944142198	8.30E-08
Slc25a32	0.318072348	8.33E-08
C1qtnf4	-0.199242462	8.34E-08
Cilp2	-0.199329864	8.34E-08
Cltrn	0.203313454	8.34E-08
Tff3	0.540899925	8.37E-08
Zfp646	-0.308156226	8.39E-08
LOC100909405	-0.197005352	8.41E-08
Emx1	-0.196814842	8.44E-08
Stab1	-3.658750036	8.44E-08
Gemin5	0.559388794	8.45E-08
Mrpl38	2.331077127	8.46E-08
Ssbp2	-0.992373305	8.49E-08
Zfp770	1.479144409	8.51E-08
Rmi1	-0.870972592	8.52E-08
LOC100910774	0.202721289	8.58E-08
Klf1	-0.196499769	8.58E-08
Smc1b	0.723541032	8.58E-08
Rab27a	-1.50689922	8.59E-08
Dok3	0.581060785	8.59E-08
LOC100360933	0.202469178	8.60E-08
Tlr4	-1.782864349	8.61E-08
LOC102550695	0.202128071	8.62E-08
Cpd	-1.327010177	8.65E-08
LOC100912188	-0.361837146	8.65E-08
Col9a1	0.201406443	8.68E-08
Sbp	0.201603086	8.69E-08
Nat14	-0.195206675	8.73E-08
Hjurp	-0.195415143	8.74E-08
Arap2	-0.196183088	8.74E-08
Acsbg1	-0.195301013	8.74E-08
Kndc1	0.201812779	8.76E-08
Usp11	-2.516373093	8.78E-08
LOC102551899	0.337521883	8.78E-08
RGD1564865	0.200341038	8.81E-08
Mtpap	1.343206456	8.84E-08
Plekha1	-1.22287351	8.85E-08
Grk4	-0.194793484	8.88E-08
N4bp1	1.378277457	8.89E-08
Zer1	1.934378385	8.90E-08
Lrch4	-0.814389629	8.90E-08
Prss55	0.200085159	8.91E-08
Zfp691	-0.470793873	8.92E-08
Gpr149	0.200758213	8.93E-08
Prkrip1	-0.819608073	8.94E-08
Cox7c	1.572777632	8.95E-08
Wnt6	-0.194461493	8.96E-08
Plekhg2	-0.456215759	8.99E-08
Bace2	-2.773342969	9.00E-08
Sdad1	0.94859885	9.01E-08
Pfn1	-1.420898386	9.02E-08
Ofd1	0.330127055	9.07E-08
Myl2	-0.193976843	9.09E-08
Myo15b	-0.19348272	9.09E-08
Tnfrsf11a	-0.193405772	9.10E-08
Irak4	0.257234964	9.10E-08
Pask	-0.193588807	9.10E-08
Akap5	0.19979785	9.12E-08
RGD1304884	-1.069916131	9.12E-08
Ehd3	-0.193777987	9.12E-08
Camkk2	0.326078723	9.13E-08
Slc38a1	-0.19368035	9.15E-08
Dmd	-0.193881697	9.15E-08
Zfp648	0.298303489	9.16E-08
Aqp5	-0.193284294	9.17E-08
Ryr3	0.198562188	9.18E-08
S100a5	-0.193183075	9.19E-08
Mtss1l	0.29044011	9.19E-08
Vom2r75	0.198995641	9.22E-08
Shq1	0.309401614	9.22E-08
Uts2r	0.199323524	9.24E-08
LOC100911379	-0.193083433	9.24E-08
Lpin3	-0.345941737	9.26E-08
Btnl3	0.198334416	9.28E-08
Nsun5	1.47467917	9.29E-08
Pigr	0.25605232	9.30E-08
Tmprss2	-0.192810994	9.32E-08
Rpl4	-1.362799875	9.34E-08
Nr1i2	-0.192705093	9.36E-08
Endog	2.897613381	9.39E-08
A2ml1	0.198066405	9.40E-08
Rhot2	2.178490973	9.42E-08
LOC102547411	-0.192398358	9.43E-08
Fcgbp	0.284337252	9.44E-08
Krt12	-0.192540434	9.44E-08
Ccdc159	-0.192265106	9.45E-08
LOC102551819	1.098338033	9.47E-08
Myo5a	-0.302156619	9.48E-08
Tlnrd1	-0.775178357	9.48E-08
Mrm2	1.74986318	9.48E-08
Erbb3	-0.191703828	9.51E-08
Rabepk	1.061044416	9.53E-08
Map7	1.752822326	9.54E-08
Abcc6	0.308805012	9.54E-08
Ano2	0.321130283	9.54E-08
Acat2	2.403528643	9.54E-08
Adamtsl4	-2.515369514	9.56E-08
LOC100912510	0.197817173	9.61E-08
Mrpl35	2.471846535	9.65E-08
Jhy	0.286302665	9.65E-08
Nfya	0.572345191	9.68E-08
Zfp511	1.202488279	9.69E-08
Acmsd	-0.191335303	9.72E-08
Slc10a2	0.196620771	9.72E-08
Tpcn1	1.468175535	9.72E-08
Lyrm9	2.333827231	9.72E-08
Hsd17b8	2.242373161	9.74E-08
Slc39a2	-0.191222729	9.74E-08
Slco1c1	0.196951362	9.74E-08
5-Sep	-0.191423349	9.75E-08
F2rl1	-0.19106284	9.75E-08
Cfap69	-0.190869374	9.80E-08
Crisp2	0.197427373	9.81E-08
Apbb1	-0.612825495	9.83E-08
Vamp2	-1.220934067	9.83E-08
Fat2	0.293979463	9.85E-08
LOC102548514	0.671189512	9.87E-08
Wwtr1	-1.051303223	9.88E-08
Omg	-0.190412596	9.90E-08
LOC102548022	-0.19051635	9.91E-08
Kremen1	-0.190613735	9.92E-08
LOC365837	0.196344876	9.93E-08
RGD1561795	0.19399353	9.95E-08
Eif4e3	1.643353529	9.95E-08
Abcc1	-1.234791201	9.96E-08
Lhfpl3	0.194084055	9.96E-08
Upk1a	0.196093435	9.99E-08
Trdn	0.193893241	1.00E-07
Mum1l1	0.195544646	1.00E-07
Foxi2	0.195078116	1.00E-07
Clcn5	0.195793863	1.00E-07
Noxred1	0.19431017	1.00E-07
Lhx1	-0.190022138	1.00E-07
Iglon5	0.194644798	1.00E-07
Ppard	1.177107075	1.01E-07
Slc6a1	0.1936877	1.01E-07
Bmp2	-0.959297732	1.01E-07
Bmp15	0.195274658	1.01E-07
Vps52	0.265873632	1.01E-07
Phex	0.19485528	1.01E-07
Irf2bp1	1.285911952	1.01E-07
Rims1	0.193456512	1.02E-07
Cox15	0.976045029	1.02E-07
Kcnq1	-0.189617027	1.02E-07
Clca4	0.287947225	1.02E-07
Fras1	0.193176487	1.03E-07
Hemk1	1.222082331	1.03E-07
Oxa1l	1.961987361	1.03E-07
Xrcc3	0.29826391	1.03E-07
Kcnn2	0.192331614	1.03E-07
Spry3	0.193037778	1.04E-07
Stac2	-0.189388889	1.04E-07
Ptp4a2	-0.738022905	1.04E-07
Prr35	0.286809777	1.04E-07
H2afj	-0.747309673	1.04E-07
Rap2a	-0.189271045	1.04E-07
Ccdc151	0.301669816	1.04E-07
Dnajc1	-0.638906347	1.04E-07
Cd7	-0.189168132	1.04E-07
Wnk2	-0.189063436	1.05E-07
Golgb1	-0.755704871	1.05E-07
Klhdc8a	-0.188902292	1.05E-07
Rab1b	1.930362078	1.05E-07
Trim62	-0.270144444	1.05E-07
Sall1	0.192215172	1.05E-07
Lin7a	0.192096827	1.05E-07
Dlx3	0.435323701	1.05E-07
Dnaaf5	1.134141323	1.05E-07
Mppe1	-0.776318767	1.05E-07
Lhfpl4	-0.188806529	1.05E-07
Sdhaf3	2.156296993	1.05E-07
Fga	0.19268513	1.05E-07
Arid3a	0.286607405	1.05E-07
Ralb	-1.786110911	1.05E-07
Unc5cl	-0.188688698	1.05E-07
Senp1	0.473487399	1.05E-07
Gp2	0.192003355	1.05E-07
Mrpl32	1.369379357	1.06E-07
Glycam1	0.370808419	1.06E-07
Sos1	1.036246064	1.06E-07
Prl5a1	0.191820735	1.06E-07
Gzmn	0.191444061	1.06E-07
Opcml	-0.188453278	1.06E-07
Abhd17b	0.191714897	1.06E-07
Mfsd4b	0.244213539	1.06E-07
Elf3	-0.188262529	1.06E-07
RGD1563222	0.29409133	1.06E-07
Efhc2	0.191558156	1.07E-07
Mib2	1.002622471	1.07E-07
Fmc1	2.151111961	1.07E-07
Ecd	0.919057042	1.07E-07
Kel	-0.187822653	1.07E-07
Pmpca	2.247479646	1.07E-07
Trim29	-0.187623703	1.07E-07
Tomm22	1.430309655	1.07E-07
Zscan18	0.191277456	1.07E-07
Syt9	-0.187510662	1.08E-07
Nsmce2	0.971422555	1.08E-07
Myh6	0.317497782	1.08E-07
Dnajc21	1.152068241	1.08E-07
Ebpl	-1.194087307	1.08E-07
Zcchc17	-0.485553498	1.09E-07
Alad	2.238497542	1.09E-07
LOC102548785	0.190800081	1.09E-07
Fezf2	0.258613481	1.09E-07
Nepn	0.190654537	1.10E-07
Kpna4	-0.671894136	1.10E-07
Tgm7l1	0.190347953	1.10E-07
Zc3h18	-0.77201438	1.10E-07
Inhbc	0.190504015	1.10E-07
Kdm4c	0.483777519	1.10E-07
Sbno2	1.607209651	1.10E-07
Hibch	1.217762481	1.11E-07
Tmem63c	-0.1869577	1.11E-07
Mrpl14	2.704176017	1.11E-07
Fmnl1	-0.896229875	1.11E-07
Cox8a	0.954392354	1.11E-07
Adam18	0.293508848	1.12E-07
LOC100909637	0.190076631	1.12E-07
Susd3	-0.186620875	1.13E-07
B3galt4	-0.186699685	1.13E-07
Flnc	0.270722161	1.13E-07
6-Sep	-0.186381771	1.13E-07
Slc35f1	-0.186213743	1.14E-07
Gkap1	-1.017037265	1.14E-07
Rpl34	-1.361201249	1.14E-07
C2cd3	-0.185703824	1.14E-07
Cyc1	2.367268216	1.14E-07
LOC102547600	0.189686861	1.14E-07
Cxcl11	-0.185602398	1.15E-07
Rnf126	1.366833784	1.15E-07
Ihh	-0.185471937	1.15E-07
Capn3	0.189379438	1.15E-07
Vsig10l	-0.506830165	1.15E-07
Ttc1	1.301666454	1.15E-07
Rab11fip4	-0.185336121	1.15E-07
Myo16	-0.185242517	1.15E-07
Leng1	2.035764602	1.15E-07
Taf7l	0.189138341	1.16E-07
Akap1	2.384965262	1.16E-07
Pafah1b3	-0.184940767	1.17E-07
Defa24	1.850878287	1.17E-07
Alkbh3	2.250023173	1.18E-07
Slx4ip	0.510838425	1.18E-07
Cbfa2t3	3.505202491	1.18E-07
Pla2g2f	-0.18450439	1.19E-07
Nsd2	-0.815861991	1.19E-07
Gnai2	-2.047330728	1.19E-07
Pkd1	-0.733694053	1.19E-07
Sowahb	0.188786742	1.19E-07
Slc25a21	-0.184612247	1.19E-07
Vgll1	0.188548924	1.19E-07
Plcd1	1.343915265	1.19E-07
Mogat2	-0.184259376	1.19E-07
Pcsk5	-0.695552078	1.19E-07
LOC102556470	0.279806273	1.20E-07
Dnajc12	1.630128219	1.20E-07
Fam229a	-0.184035644	1.20E-07
Cep295nl	0.364987747	1.20E-07
Ano5	0.188308159	1.20E-07
Rab3a	0.850162386	1.21E-07
Pank1	5.211619431	1.21E-07
Ghitm	2.454136234	1.21E-07
Ndufa8	1.414103791	1.21E-07
Zc3h7a	-0.907026727	1.21E-07
Trpm3	0.187932605	1.21E-07
Prf1	0.553755722	1.21E-07
9-Mar	-0.183783892	1.21E-07
Casp6	-0.483999865	1.21E-07
Prdm12	-0.183851459	1.21E-07
Gal3st1	-0.183369179	1.22E-07
Dnlz	2.30184722	1.22E-07
Sstr3	-0.182909222	1.22E-07
Gad1	0.1867915	1.23E-07
Fgfrl1	-1.578839766	1.23E-07
Klrb1c	-0.18317729	1.23E-07
Ttll7	1.218403473	1.23E-07
Vdac3	0.881643938	1.23E-07
C1qb	-4.599649927	1.23E-07
Acadl	2.916661409	1.23E-07
Asb3	-0.320685988	1.23E-07
Mcmbp	-0.182799748	1.23E-07
Slc35g2	0.187061816	1.24E-07
Dmac2l	2.564465064	1.24E-07
Rev1	0.553228545	1.24E-07
Prm3	-0.182677841	1.24E-07
Gmpr	6.441776584	1.24E-07
Ano3	0.1875507	1.24E-07
Nav1	-1.906864406	1.24E-07
Ambn	0.186130653	1.25E-07
Polk	0.186229419	1.25E-07
Sox3	0.187280743	1.25E-07
Pdha1	2.447894601	1.25E-07
Ly6g6c	-0.182343212	1.25E-07
Ugt2b	0.18572376	1.26E-07
Syn1	-0.182127306	1.26E-07
Rwdd1	-0.182042455	1.26E-07
Cpt1b	7.183866802	1.26E-07
Golm1	-0.348816393	1.26E-07
Atp5po	2.040133914	1.27E-07
Tox3	0.225773991	1.27E-07
Hmbs	1.874814855	1.27E-07
Arid4a	-0.753896508	1.27E-07
Pnma1	0.274945133	1.27E-07
T2	-0.181502628	1.27E-07
Icam1	-1.747310738	1.28E-07
Rusc1	1.294069383	1.28E-07
Man2c1	0.812519608	1.28E-07
Slc29a3	-0.782129798	1.28E-07
Slc9a4	0.185049181	1.28E-07
LOC102547573	0.18536863	1.29E-07
Igsf1	-0.181082658	1.29E-07
Il1rl1	-0.180986237	1.29E-07
LOC100911522	-0.181361106	1.29E-07
Eml4	-0.694171349	1.29E-07
LOC102549016	0.185282498	1.29E-07
Svop	-0.180900685	1.29E-07
Adtrp	5.421462033	1.29E-07
Hoxc9	-0.18068916	1.29E-07
Sln	-0.181201714	1.29E-07
Uqcrh	1.689324646	1.30E-07
Nsmce4a	-0.46643093	1.30E-07
LOC308990	-0.945125987	1.30E-07
Clrn3	-0.180583718	1.30E-07
Lnpk	0.560507244	1.30E-07
Parp4	-1.592625982	1.31E-07
Gata3	0.279424089	1.31E-07
Slc6a18	-0.180201112	1.32E-07
Itgb3bp	1.188220708	1.32E-07
Cemip2	-0.180113327	1.32E-07
Fosl1	-0.180031602	1.32E-07
Bad	-0.697729407	1.32E-07
Mindy2	0.894354826	1.32E-07
Pgls	1.265760952	1.33E-07
B3galt6	1.273191935	1.33E-07
Zc3h11a	-2.075445599	1.33E-07
Lama3	-0.17991559	1.34E-07
Adam8	-0.179824855	1.34E-07
LOC306766	1.147748602	1.34E-07
Stard7	-0.179718152	1.34E-07
Son	-1.393690781	1.34E-07
Gas8	-0.179602242	1.34E-07
Ust5r	0.184186395	1.34E-07
Aoc3	-0.780547555	1.35E-07
Stxbp2	-0.527403761	1.35E-07
Mzb1	-0.179228673	1.35E-07
Rbfox1	-0.178825816	1.35E-07
Hmga2	-0.178719961	1.35E-07
Map7d1	-1.752799215	1.36E-07
Anxa1	-4.600626656	1.36E-07
Cltc	-0.930468327	1.36E-07
LOC102552061	0.183679799	1.36E-07
Rhoc	-2.309578929	1.36E-07
Poldip2	1.825165921	1.36E-07
Cacnb2	-0.178311726	1.37E-07
Mmp10	0.279368703	1.37E-07
LOC102555688	-0.178179315	1.37E-07
Cyp8b1	0.289677538	1.37E-07
Slc25a11	1.611870878	1.37E-07
Hepacam	0.264533393	1.37E-07
Necab3	0.205589647	1.38E-07
Slc6a15	0.182027426	1.38E-07
Ppm1a	0.897814543	1.38E-07
Nsd1	0.559455929	1.38E-07
Pfkl	2.406942473	1.38E-07
Mkks	1.825664143	1.38E-07
Ppy	-0.177867892	1.38E-07
Cryba1	0.182347899	1.39E-07
Glyat	0.181847715	1.39E-07
Aldh1a7	0.18254231	1.39E-07
LOC100912209	0.181671604	1.39E-07
Cul3	0.488542123	1.39E-07
Fat3	0.182832137	1.40E-07
Dnajb13	0.960217213	1.40E-07
Lypd3	-0.17757023	1.40E-07
Il11	0.304101881	1.40E-07
Hist3h2ba	0.241973222	1.40E-07
Tpra1	-0.655704919	1.40E-07
Art2b	0.18151229	1.40E-07
Slc14a2	-0.177398171	1.41E-07
Adra2a	-0.17746985	1.41E-07
Onecut2	0.183301244	1.41E-07
Rsbn1l	-0.375666199	1.41E-07
Foxr1	-0.17708593	1.41E-07
Kcna3	0.183094506	1.41E-07
Ube4b	1.639482578	1.42E-07
Maoa	-0.8786935	1.42E-07
LOC685964	-0.176839775	1.42E-07
Cmtm3	-2.256780912	1.42E-07
Cep95	0.486588898	1.43E-07
Vat1	-2.329214399	1.43E-07
Efhd2	-1.638811257	1.43E-07
LOC100363171	0.26835999	1.43E-07
Rgs14	-1.343786881	1.43E-07
Ufsp1	3.308201606	1.43E-07
Ctxn2	-0.176620083	1.43E-07
Tut1	-0.611726485	1.43E-07
Pax1	0.181301592	1.43E-07
Nectin4	0.436976207	1.43E-07
Prdm11	0.18106769	1.44E-07
Areg	0.180883604	1.44E-07
Mpst	1.076318987	1.44E-07
Dek	-0.945490387	1.44E-07
Cetn4	-0.264150161	1.45E-07
Slc25a15	1.905329549	1.45E-07
Sufu	-0.175982052	1.45E-07
Por	1.70504849	1.45E-07
Twnk	2.313082931	1.45E-07
Ablim2	-0.176081251	1.45E-07
Pop1	-0.175753341	1.45E-07
Atg7	1.410789366	1.45E-07
Patz1	0.473379145	1.46E-07
Tmem233	-0.175491699	1.46E-07
Ttc22	-0.409805668	1.46E-07
LOC100363236	0.180704847	1.47E-07
Asphd2	-0.175388848	1.47E-07
Fndc3a	-0.853555763	1.47E-07
Prelid1	0.673852045	1.47E-07
Tbrg4	2.441609831	1.48E-07
Rasl10b	0.799419286	1.48E-07
Uhrf1	0.178713963	1.48E-07
Klhl3	-0.175288557	1.48E-07
Ptger2	-0.174938696	1.48E-07
Myl7	0.180144881	1.48E-07
Olr1641	0.256822264	1.49E-07
Arf2	-0.872507189	1.49E-07
Crx	0.180421324	1.49E-07
LOC100909684	0.178870281	1.49E-07
Crygc	0.178581337	1.49E-07
Fabp1	0.179545236	1.49E-07
Tpbpa	-0.30267924	1.50E-07
Prelid3b	3.19312969	1.50E-07
Dph3	0.901154328	1.50E-07
Slc32a1	0.179777921	1.50E-07
Lrrn3	0.179979104	1.50E-07
Spta1	0.178428719	1.50E-07
Rab17	-0.174827332	1.50E-07
Mmp13	0.179139979	1.50E-07
Igsf11	0.179351141	1.51E-07
Dctn1	-0.448850649	1.51E-07
Smr3b	0.178305203	1.51E-07
Lrrc73	-0.174240226	1.51E-07
Cacng2	-0.728237163	1.52E-07
Fkbpl	2.649669896	1.52E-07
Rps27a	-1.770650236	1.52E-07
Phospho2	1.760276759	1.53E-07
Cntnap2	0.259540305	1.53E-07
Ruvbl1	1.30448679	1.53E-07
Prkg2	0.286244356	1.53E-07
Sv2c	0.264427295	1.53E-07
Unc5c	0.295849466	1.54E-07
Ap3b2	-0.173788517	1.54E-07
Tex46	0.177619862	1.54E-07
Msi2	2.47948044	1.55E-07
Got1	2.117383953	1.55E-07
Calr3	2.228974661	1.55E-07
Serpinb6a	-2.755132551	1.55E-07
Susd6	-0.857611382	1.55E-07
Otud7b	1.13327434	1.55E-07
Parp14	-0.74071425	1.55E-07
Cib2	5.39495192	1.56E-07
Gpr143	0.176692141	1.56E-07
Clcf1	0.177165656	1.56E-07
Esrra	3.48980993	1.56E-07
Ugt2b35	0.177766285	1.56E-07
Reg3g	0.177427973	1.56E-07
RGD1566099	1.677078227	1.56E-07
Sspn	-2.01501743	1.57E-07
Neurl4	1.990811027	1.57E-07
Ttyh1	-0.41111646	1.57E-07
Cps1	0.177016014	1.57E-07
Cpg1	0.278257446	1.57E-07
Prag1	-0.173255371	1.57E-07
Igflr1	-0.172986857	1.57E-07
Fam155b	-0.172881278	1.58E-07
Tars2	2.148634646	1.58E-07
Sfmbt2	0.601335348	1.58E-07
Nup133	0.531197626	1.58E-07
Rcvrn	0.176518101	1.58E-07
Pced1b	-0.720767301	1.59E-07
Mmgt2	-0.983227768	1.59E-07
Pnoc	0.283601743	1.59E-07
Phactr1	0.257744291	1.59E-07
Cavin3	-2.447505309	1.60E-07
Fam163b	-0.172699847	1.60E-07
Fabp4	-0.49304568	1.60E-07
Ptgfrn	-3.197196647	1.60E-07
Opalin	0.176363292	1.60E-07
Nup107	-0.929296449	1.60E-07
C2cd4a	-0.17245274	1.60E-07
mrpl24	2.13428233	1.60E-07
Mmp14	-2.916835513	1.61E-07
Loxl3	-0.72841264	1.61E-07
Dglucy	2.161110045	1.61E-07
Gpha2	-0.172124847	1.61E-07
Il36rn	-0.172312948	1.61E-07
Lypd8	0.257153412	1.62E-07
Grin3a	0.176117552	1.62E-07
Cpt2	3.689187105	1.62E-07
Vars2	1.288846871	1.62E-07
Muc4	0.175107474	1.62E-07
LOC102547892	0.175282556	1.62E-07
Ctrc	-0.171832369	1.63E-07
Dhx16	0.696017684	1.63E-07
Rnf7	1.487435424	1.63E-07
Mrpl58	1.654507711	1.63E-07
Timm50	1.46305473	1.63E-07
RGD1562515	0.175454713	1.63E-07
Miat	0.356163838	1.63E-07
Tmem170b	0.174809253	1.64E-07
Mov10l1	0.175849572	1.64E-07
Atp8b4	-0.705412251	1.65E-07
Rundc3b	0.174649638	1.65E-07
Ica1l	0.174488806	1.65E-07
Rfx1	-1.061099418	1.65E-07
LOC500013	-1.297923196	1.65E-07
