gene	logFC	P.Value
Mon1b	1.270708072	3.36E-09
Spock3	0.446184461	3.39E-09
Pdx1	0.491804153	3.39E-09
Ttc4	0.758765046	3.41E-09
Zfp444	-0.480594746	3.41E-09
Ciita	-0.919231827	3.42E-09
Letmd1	4.024498104	3.42E-09
Zbtb9	0.423052672	3.42E-09
Tgfb1	-0.520566598	3.43E-09
Serpina7	0.433511497	3.45E-09
Kcnh3	-1.278801171	3.46E-09
Rab3il1	-0.965775225	3.47E-09
LOC100365450	-0.479260126	3.47E-09
LOC102553942	0.792519716	3.47E-09
Plscr1	-1.170279403	3.49E-09
Neto1	0.430793343	3.49E-09
Khdrbs2	0.436527295	3.51E-09
Amot	-0.468431711	3.51E-09
Gfra1	1.103567281	3.52E-09
Sapcd1	-0.436339729	3.53E-09
Krtap1-1	-0.515294305	3.54E-09
Ninj2	-0.442738636	3.54E-09
LOC102548260	0.407434297	3.55E-09
Ccne2	0.517543548	3.55E-09
Gsto2	0.74834575	3.55E-09
Pdgfc	-0.505035799	3.57E-09
Ndufa13	1.351660859	3.57E-09
Kcnj11	1.857720443	3.57E-09
Brinp2	-0.438351379	3.57E-09
Tinag	0.449533168	3.57E-09
Hipk3	-0.464803575	3.57E-09
Syt7	0.518295292	3.58E-09
Ctsr	0.396325523	3.58E-09
LOC102547352	-0.512799765	3.58E-09
Nap1l5	0.652185507	3.59E-09
Prmt7	1.018148882	3.59E-09
Lrrc49	-1.036494065	3.59E-09
Ttll5	-0.446876077	3.61E-09
Tubb3	-0.448920835	3.61E-09
Nfkbil1	-0.862353925	3.62E-09
Scn4b	-0.466344115	3.62E-09
P4htm	-0.470754712	3.62E-09
Plekha4	-0.957944592	3.63E-09
LOC100910792	-0.445705823	3.64E-09
Creb3l2	-0.43944028	3.64E-09
Gne	-1.323559124	3.65E-09
Akt3	-0.964152277	3.65E-09
Dapp1	-0.448675604	3.66E-09
Cep78	0.472558032	3.67E-09
Tpst1	-2.306936273	3.69E-09
