abc,agh,adf
zma-miR159e-3p,2_32926,10_1056
6_7809,2_32818,1_49594
3_27700,2_32815,1_49087
10_3152,2_32193,1_48861
zma-miR171g-3p,2_31934,1_48710
zma-miR166n-5p,2_30868,1_47381
zma-miR164d-3p,2_30794,1_47056
zma-miR160a-3p,2_30731,1_46314
zma-miR399f-3p,2_30729,1_46296
zma-miR396f-3p,10_471,1_44837
zma-miR393b-3p,10_3554,1_43790
zma-miR2275b-5p,10_3393,1_43788
zma-miR2118d,10_3391,
zma-miR172e,10_3152,
zma-miR171n-3p,10_2682,
zma-miR171l-5p,10_1721,
zma-miR171f-3p,10_1206,
zma-miR171a-3p,10_1111,
zma-miR169q-5p,10_1105,
zma-miR169o-5p,10_1056,
zma-miR169n-5p,1_49594,
zma-miR169m-5p,1_49087,
zma-miR169h,1_48861,
zma-miR169g,1_48710,
zma-miR169f-5p,1_47381,
zma-miR169b-5p,1_47056,
zma-miR169a-5p,1_46314,
zma-miR160g-3p,1_46296,
zma-miR160b-3p,1_44837,
zma-miR156b-3p,1_43790,
7_16620,1_43788,
,1_42818,
